season,date,home_team_abbr,away_team_abbr,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,overtime_prob,home_team_expected_points,away_team_expected_points,home_team_won,decade
1940,1939-11-02,CHI,DET,1464.96298467608,1493.00698537248,0.531555228447715,0.468444771552285,0.239837907113297,1.1754612705027,1.0643766366106,1,1940
1940,1939-11-04,TOR,BOS,1518.38054610859,1585.02442638004,0.476065836775194,0.523934163224806,0.240790441566001,1.0782900120648,1.1625004295012,1,1940
1940,1939-11-05,DET,NYR,1490.76892938435,1547.18675768749,0.490765052979687,0.509234947020313,0.242631371835611,1.10508647974155,1.13754489209406,0,1940
1940,1939-11-05,MTL,CHI,1482.86450112293,1467.20104066421,0.593388046230196,0.406611953769804,0.232098815166292,1.28115024516282,0.950948570003477,1,1940
1940,1939-11-09,MTL,NYA,1487.59895432494,1475.22223023955,0.588815116168863,0.411184883831137,0.232674677198329,1.27330254245197,0.959372134746362,1,1940
1940,1939-11-11,TOR,NYR,1524.3416570549,1547.1424299418,0.539063065660596,0.460936934339404,0.238900258207063,1.18824408395205,1.05065617425502,0,1940
1940,1939-11-12,NYR,TOR,1547.32993265697,1524.15415433973,0.603778411555876,0.396221588444124,0.230786335626452,1.29899935160486,0.931786984021589,0,1940
1940,1939-11-12,CHI,NYA,1462.46658746219,1472.18574125154,0.557710456721596,0.442289543278404,0.236571849946302,1.22005416890847,1.01651768103783,1,1940
1940,1939-11-12,DET,BOS,1490.81325713004,1579.06331543372,0.445175061817937,0.554824938182063,0.236932282366141,1.021806062553,1.21512621981314,1,1940
1940,1939-11-14,BOS,CHI,1576.33323743435,1464.56115857613,0.717325761497386,0.282674238502614,0.215701236824853,1.49562470585831,0.720076530966543,1,1940
1940,1939-11-14,NYA,DET,1470.0911701376,1493.54333512942,0.538131223442244,0.461868776557756,0.239016610019978,1.1866567561314,1.05235985388858,0,1940
1940,1939-11-16,MTL,BOS,1490.63544331296,1578.32690068229,0.445969427277331,0.554030572722669,0.237031491482948,1.02326154753427,1.21376994394868,0,1940
1940,1939-11-16,NYR,CHI,1544.30648394485,1462.56749532819,0.680995519433764,0.319004480566236,0.220733459836702,1.43240600156632,0.788327458270379,0,1940
1940,1939-11-18,NYA,NYR,1465.94257367445,1540.79225837977,0.464299284650798,0.535700715349201,0.239320116736009,1.05680252703453,1.18251758970148,0,1940
1940,1939-11-18,TOR,DET,1527.17760305185,1497.69193159256,0.612434304028293,0.387565695971707,0.229687953077936,1.31388777944755,0.915800173630383,1,1940
1940,1939-11-19,CHI,BOS,1466.08172089327,1578.06755393322,0.411729780469171,0.588270219530829,0.232743230578443,0.960375472285037,1.27236775829341,0,1940
1940,1939-11-19,NYR,MTL,1544.28299690244,1490.89479006202,0.644546002822254,0.355453997177746,0.225560505151869,1.36926838880617,0.856292116345697,0,1940
1940,1939-11-19,DET,TOR,1494.2459887733,1530.62354587111,0.519594231450515,0.480405768549485,0.24133337717314,1.15512640943853,1.08620696773461,0,1940
1940,1939-11-21,BOS,MTL,1581.10862958022,1494.17247834389,0.687459283720026,0.312540716279974,0.219856659268769,1.44363272520683,0.776223934061935,0,1940
1940,1939-11-23,DET,NYA,1487.96045317608,1462.45183515179,0.606986489927679,0.393013510072321,0.230379823123715,1.30451536279105,0.925864460332666,1,1940
1940,1939-11-23,MTL,NYR,1497.72969727953,1541.00530862057,0.5096759650331,0.4903240349669,0.242576044911131,1.13829279519334,1.10428324971779,0,1940
1940,1939-11-25,MTL,DET,1497.68325264737,1489.79081811732,0.582551313161981,0.417448686838019,0.233461964372523,1.2625610167779,0.970900947594627,0,1940
1940,1939-11-25,TOR,NYA,1536.90908146833,1460.62147021054,0.67413999221884,0.32586000778116,0.22165583843612,1.42050875767521,0.801147080760905,1,1940
1940,1939-11-26,BOS,NYR,1577.55141064457,1541.05175325273,0.621973233324366,0.378026766675634,0.228471318893754,1.33031474060826,0.898156578285498,0,1940
1940,1939-11-26,DET,CHI,1494.3525246673,1463.04064524628,0.614926566368988,0.385073433631012,0.229370744858642,1.3181777130352,0.911193031823446,0,1940
1940,1939-11-26,NYA,TOR,1459.13926664759,1538.39128503129,0.458002150630529,0.541997849369471,0.238533842402571,1.04528913084509,1.19324471155748,1,1940
1940,1939-11-28,NYR,DET,1541.63722477269,1489.48001983252,0.642920847059005,0.357079152940995,0.225771782668814,1.36646009103137,0.859311691637447,1,1940
1940,1939-11-28,BOS,TOR,1576.96593912462,1535.73619966704,0.628353692134499,0.371646307865501,0.227653411609745,1.34131393416674,0.886339477443,1,1940
1940,1939-11-30,NYA,MTL,1461.79435201183,1493.1215460974,0.52684648423289,0.47315351576711,0.240426323230913,1.16745152858545,1.07297479464547,1,1940
1940,1939-11-30,CHI,NYR,1467.91315008106,1544.77865894313,0.461414297829291,0.538585702170709,0.238959862185404,1.05152896082432,1.18743090136108,0,1940
1940,1939-12-02,TOR,CHI,1532.03929366625,1462.77334548598,0.665199015013401,0.334800984986599,0.222847968206898,1.40500774928473,0.817840218922165,0,1940
1940,1939-12-02,NYR,NYA,1549.91846353821,1466.12494855517,0.683559263959297,0.316440736040703,0.220386546477267,1.43685780889933,0.783528737577938,0,1940
1940,1939-12-03,NYA,BOS,1467.00603302217,1580.66284512541,0.409401989835824,0.590598010164176,0.232450277426916,0.956088650982096,1.27636162644482,0,1940
1940,1939-12-03,DET,MTL,1486.33858566208,1488.79094955406,0.568002543270514,0.431997456729486,0.235285212656908,1.23764770001487,0.99763751264204,0,1940
